Year,Crop,CDL_m2,Comm_m2,CDL_Acres,Comm_Acres,CoA_Data_Item(s),CoA_Acres,CV%,SD,LL,UL,Notes,Within_90_CI?,State_Adj_Ratio,Ratio_Greater_Than_1?,Omission-Adjustment,Adjustment_Code
2013,1,364474800,362809198.4,90063.54545,89651.96697,"CORN, GRAIN - ACRES HARVESTED; CORN, SILAGE - ACRES HARVESTED",97570,3.07707925,3002.306224,92631.20626,102508.7937,,N,1.08831968,Y,Omisison-adjustment raster from NLCD,3
2013,2,209700,202505.2775,51.8179185,50.0400666,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,3,17541900,17523032.87,4334.6912,4330.029038,RICE - ACRES HARVESTED,4211,10.2,429.522,3504.43631,4917.56369,,Y,0.972510799,N,NA,1
2013,4,157500,155461.1237,38.9190375,38.41522098,"SORGHUM, GRAIN - ACRES HARVESTED; SORGHUM, SILAGE - ACRES HARVESTED",1200,14.84658147,178.1589777,906.9284817,1493.071518,,N,31.23761804,Y,Omisison-adjustment raster from NLCD,3
2013,5,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,6,963900,953467.9177,238.1845095,235.6066898,SUNFLOWER - ACRES HARVESTED,NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,7,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,8,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,9,4472100,4388244.004,1105.078271,1084.357035,SWEET CORN - ACRES HARVESTED,2935,11.9,349.265,2360.459075,3509.540925,,N,2.706673085,Y,Omisison-adjustment raster from NLCD,3
2013,10,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,11,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,12,711900,700680.614,175.9140495,173.1416831,BARLEY - ACRES HARVESTED,716,33,236.28,327.3194,1104.6806,,N,4.135341571,Y,Omisison-adjustment raster from NLCD,3
2013,13,4500,4500,1.1119725,1.1119725,"WHEAT, SPRING, DURUM - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,14,2508300,2456864.972,619.8134715,607.103619,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,15,107235000,104963233.8,26498.30468,25936.93989,"WHEAT, WINTER - ACRES HARVESTED",24904,13.3,3312.232,19455.37836,30352.62164,,Y,0.960174951,N,NA,1
2013,16,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,17,106200,102233.4512,26.242551,25.26239696,RYE - ACRES HARVESTED,NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,18,66005100,63071982.81,16310.19024,15585.40231,OATS - ACRES HARVESTED,1890,9.3,175.77,1600.85835,2179.14165,,N,0.121267322,N,Multiply probability by state adjustment ratio,2
2013,19,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,20,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,21,5400,5400,1.334367,1.334367,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,22,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,23,16661700,16390609.08,4117.189379,4050.201458,SAFFLOWER - ACRES HARVESTED,3386,5.5,186.23,3079.65165,3692.34835,,N,0.836007797,N,Multiply probability by state adjustment ratio,2
2013,24,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,25,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,26,291739500,221538166.1,72090.28915,54743.18854,"HAY, ALFALFA - ACRES HARVESTED; HAYLAGE, ALFALFA - ACRES HARVESTED; LEGUMES, ALFALFA, SEED - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,27,765684000,470056069.7,189204.3448,116153.2051,"HAY, SMALL GRAIN - ACRES HARVESTED; HAY, TAME, (EXCL ALFALFA & SMALL GRAIN) - ACRES HARVESTED; HAY, WILD - ACRES HARVESTED; HAYLAGE, (EXCL ALFALFA) - ACRES HARVESTED",39876,7.770719817,3098.652234,34778.71707,44973.28293,,N,0.343305206,N,Multiply probability by state adjustment ratio,2
2013,28,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,29,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,30,761400,761400,188.145747,188.145747,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,31,7902000,7859044.761,1952.62371,1942.009256,"BEANS, DRY EDIBLE, (EXCL LIMA), INCL CHICKPEAS - ACRES HARVESTED; BEANS, DRY EDIBLE, LIMA - ACRES HARVESTED",7032,27.99870551,1968.868972,3793.210541,10270.78946,,N,3.620992011,Y,Omisison-adjustment raster from NLCD,3
2013,32,1546200,1546200,382.073751,382.073751,POTATOES - ACRES HARVESTED,2952,13.5,398.52,2296.4346,3607.5654,,N,7.726257018,Y,Omisison-adjustment raster from NLCD,3
2013,33,1612800,1332545.266,398.530944,329.278598,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,34,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,35,11700,11700,2.8911285,2.8911285,SWEET POTATOES - ACRES HARVESTED,NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,36,0,0,0,0,"BEANS, GREEN, LIMA - ACRES HARVESTED; BEANS, SNAP - ACRES HARVESTED; BEETS - ACRES HARVESTED; CHICORY - ACRES HARVESTED; BRUSSELS SPROUTS - ACRES HARVESTED; DAIKON - ACRES HARVESTED; ESCAROLE & ENDIVE - ACRES HARVESTED; OKRA - ACRES HARVESTED; SPINACH - ACRES HARVESTED; VEGETABLES, OTHER - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,4
2013,37,7584300,7514321.367,1874.118452,1856.826381,"MELONS, WATERMELON - ACRES HARVESTED",3048,29.8,908.304,1553.83992,4542.16008,,Y,1.641510499,Y,NA,1
2013,38,3149100,3136969.345,778.1583555,775.1608101,"ONIONS, DRY - ACRES HARVESTED; ONIONS, GREEN - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,39,1459800,1451076.202,360.723879,358.5681849,CUCUMBERS - ACRES HARVESTED,2848,60.3,1717.344,22.96912,5673.03088,,Y,7.942701333,Y,NA,1
2013,40,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,41,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,42,2482200,2465260.435,613.364031,609.1781797,"PEAS, GREEN, (EXCL SOUTHERN) - ACRES HARVESTED; PEAS, GREEN, SOUTHERN (COWPEAS) - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,43,137320200,135909457.6,33932.50802,33583.90652,"TOMATOES, IN THE OPEN - ACRES HARVESTED",30942,7.8,2413.476,26971.83198,34912.16802,,Y,0.921334151,N,NA,1
2013,44,0,0,0,0,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN; BOYSENBERRIES - ACRES GROWN; RASPBERRIES - ACRES GROWN",18,21.29295731,3.832732315,11.69515534,24.30484466,,NA,NA,NA,NA,4
2013,45,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,46,42300,42300,10.4525415,10.4525415,"HERBS, FRESH CUT - ACRES HARVESTED",12,17.2,2.064,8.60472,15.39528,,Y,1.148046147,Y,NA,1
2013,47,20147400,19427622.04,4978.523277,4800.662543,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,48,5827500,5751745.513,1440.004388,1421.285075,SOD - ACRES HARVESTED,NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,49,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,50,153000900,138987626.1,37807.28739,34344.53735,"AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), CULTIVATED SUMMER FALLOW - ACRES; AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), IDLE - ACRES",19043,11.47993141,2186.123338,15446.82711,22639.17289,,N,0.554469545,N,Multiply probability by state adjustment ratio,2
2013,51,61572600,60324458.69,15214.89732,14906.47537,"CHERRIES, SWEET - ACRES BEARING & NON-BEARING",17468,21.9,3825.492,11175.06566,23760.93434,,Y,1.171839726,Y,NA,1
2013,52,3487500,3474904.993,861.7786875,858.6663983,PEACHES - ACRES BEARING & NON-BEARING,2568,6.9,177.192,2276.51916,2859.48084,,N,2.990684164,Y,Omisison-adjustment raster from NLCD,3
2013,53,2672100,2591073.276,660.2892705,640.2671619,APPLES - ACRES BEARING & NON-BEARING,1625,31.4,510.25,785.63875,2464.36125,,N,2.538003035,Y,Omisison-adjustment raster from NLCD,3
2013,54,347226300,341882567.3,85801.35486,84480.8918,GRAPES - ACRES BEARING & NON-BEARING,106753,6.5,6938.945,95338.43548,118167.5645,,N,1.263634861,Y,Omisison-adjustment raster from NLCD,3
2013,55,205200,186496.9729,50.705946,46.08433449,CHESTNUTS - ACRES BEARING & NON-BEARING; FIGS - ACRES BEARING & NON-BEARING; KIWIFRUIT - ACRES BEARING & NON-BEARING; PERSIMMONS - ACRES BEARING & NON-BEARING,NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,56,0,0,0,0,GRAPEFRUIT - ACRES BEARING & NON-BEARING; LEMONS - ACRES BEARING & NON-BEARING; TANGERINES - ACRES BEARING & NON-BEARING,187,6.080529977,11.37059106,168.2953777,205.7046223,,NA,NA,NA,NA,4
2013,57,0,0,0,0,PECANS - ACRES BEARING & NON-BEARING,NA,NA,NA,NA,NA,,NA,NA,NA,NA,4
2013,58,218065500,214646529,53885.07538,53040.23056,ALMONDS - ACRES BEARING & NON-BEARING,54283,6,3256.98,48925.2679,59640.7321,,Y,1.023430695,Y,NA,1
2013,59,285313500,281162181.3,70502.39242,69476.5808,"WALNUTS, ENGLISH - ACRES BEARING & NON-BEARING",48850,9.9,4836.15,40894.53325,56805.46675,,N,0.703114624,N,Multiply probability by state adjustment ratio,2
2013,60,477900,465012.1524,118.0914795,114.9068279,PEARS - ACRES BEARING & NON-BEARING,610,13.8,84.18,471.5239,748.4761,,N,5.308648851,Y,Omisison-adjustment raster from NLCD,3
2013,61,302400,283606.0621,74.724552,70.08047599,PISTACHIOS - ACRES BEARING & NON-BEARING,597,9,53.73,508.61415,685.38585,,N,8.518777757,Y,Omisison-adjustment raster from NLCD,3
2013,62,38179800,37553661.59,9434.419479,9279.697547,TRITICALE - ACRES HARVESTED,5787,9.7,561.339,4863.597345,6710.402655,,N,0.623619463,N,Multiply probability by state adjustment ratio,2
2013,63,1280700,1273812.449,316.4673735,314.7654252,CARROTS - ACRES HARVESTED,103,30,30.9,52.1695,153.8305,,N,0.327227808,N,Multiply probability by state adjustment ratio,2
2013,64,7686000,7671356.242,1899.24903,1895.630484,ASPARAGUS - ACRES HARVESTED,4807,11.9,572.033,3866.005715,5747.994285,,N,2.535831767,Y,Omisison-adjustment raster from NLCD,3
2013,65,1800,1800,0.444789,0.444789,GARLIC - ACRES HARVESTED,7,24.4,1.708,4.19034,9.80966,,N,15.73779927,Y,Omisison-adjustment raster from NLCD,3
2013,66,4500,4500,1.1119725,1.1119725,"MELONS, CANTALOUP - ACRES HARVESTED",97,11.6,11.252,78.49046,115.50954,,N,87.2323731,Y,Omisison-adjustment raster from NLCD,3
2013,67,0,0,0,0,PRUNES - ACRES BEARING & NON-BEARING,2,20.2,0.404,1.33542,2.66458,,NA,NA,NA,NA,4
2013,68,13464900,13137160.27,3327.244115,3246.257989,OLIVES - ACRES BEARING & NON-BEARING,3104,20.5,636.32,2057.2536,4150.7464,,Y,0.956177855,N,NA,1
2013,69,9000,6983.649415,2.223945,1.725694689,ORANGES - ACRES BEARING & NON-BEARING,726,6.3,45.738,650.76099,801.23901,,N,420.7001416,Y,Omisison-adjustment raster from NLCD,3
2013,70,3600,3600,0.889578,0.889578,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,71,0,0,0,0,BROCCOLI - ACRES HARVESTED,94,12.6,11.844,74.51662,113.48338,,NA,NA,NA,NA,4
2013,72,0,0,0,0,AVOCADOS - ACRES BEARING & NON-BEARING,NA,NA,NA,NA,NA,,NA,NA,NA,NA,4
2013,73,1242000,1241269.066,306.90441,306.7237926,"PEPPERS, BELL - ACRES HARVESTED; PEPPERS, CHILE - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,74,516600,508069.7175,127.654443,125.5465676,POMEGRANATES - ACRES BEARING & NON-BEARING,215,3.6,7.74,202.2677,227.7323,,N,1.712511972,Y,Omisison-adjustment raster from NLCD,3
2013,75,0,0,0,0,NECTARINES - ACRES BEARING & NON-BEARING,16,10.2,1.632,13.31536,18.68464,,NA,NA,NA,NA,4
2013,76,0,0,0,0,"GREENS, COLLARD - ACRES HARVESTED; GREENS, KALE - ACRES HARVESTED; GREENS, MUSTARD - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,4
2013,77,216000,203819.2758,53.37468,50.36476215,"PLUM-APRICOT HYBRIDS, INCL PLUMCOTS & PLUOTS - ACRES BEARING & NON-BEARING; PLUMS - ACRES BEARING & NON-BEARING",22,10.77248657,2.369947046,18.10143711,25.89856289,,N,0.436813341,N,Multiply probability by state adjustment ratio,2
2013,78,0,0,0,0,STRAWBERRIES - ACRES GROWN,91,13.9,12.649,70.192395,111.807605,,NA,NA,NA,NA,4
2013,79,1035000,0,255.753675,0,SQUASH - ACRES HARVESTED,1368,30.4,415.872,683.89056,2052.10944,,NA,NA,NA,NA,5
2013,80,703800,658346.8384,173.912499,162.6807955,APRICOTS - ACRES BEARING & NON-BEARING,752,20.3,152.656,500.88088,1003.11912,,N,4.622549316,Y,Omisison-adjustment raster from NLCD,3
2013,81,56700,14496.59943,14.0108535,3.582182203,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,82,900,900,0.2223945,0.2223945,LETTUCE - ACRES HARVESTED,118,13.2,15.576,92.37748,143.62252,,N,530.5886611,Y,Omisison-adjustment raster from NLCD,3
2013,83,4308300,4247985.834,1064.602472,1049.698539,PUMPKINS - ACRES HARVESTED,3441,34.2,1176.822,1505.12781,5376.87219,,N,3.278084012,Y,Omisison-adjustment raster from NLCD,3
2013,84,84600,83739.2785,20.905083,20.69239441,"BLUEBERRIES, TAME - ACRES GROWN",327,57.4,187.698,18.23679,635.76321,,Y,15.80290775,Y,NA,1
2013,85,0,0,0,0,"CABBAGE, HEAD - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,4
2013,86,0,0,0,0,CAULIFLOWER - ACRES HARVESTED,15,14.7,2.205,11.372775,18.627225,,NA,NA,NA,NA,4
2013,87,0,0,0,0,CELERY - ACRES HARVESTED,NA,NA,NA,NA,NA,,NA,NA,NA,NA,4
2013,88,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,89,0,0,0,0,TURNIPS - ACRES HARVESTED,NA,NA,NA,NA,NA,(H),NA,NA,NA,NA,4
2013,90,0,0,0,0,EGGPLANT - ACRES HARVESTED,224,15.4,34.496,167.25408,280.74592,,NA,NA,NA,NA,4
2013,91,0,0,0,0,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,4
2013,92,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,1,299763000,297454639.7,74072.93612,73502.52875,"CORN, GRAIN - ACRES HARVESTED; CORN, SILAGE - ACRES HARVESTED",97570,3.07707925,3002.306224,92631.20626,102508.7937,,N,1.327437323,Y,Omisison-adjustment raster from NLCD,3
2014,2,424800,414386.704,104.970204,102.3970265,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2014,3,13428900,13411214.77,3318.348335,3313.978226,RICE - ACRES HARVESTED,4211,10.2,429.522,3504.43631,4917.56369,,N,1.270678234,Y,Omisison-adjustment raster from NLCD,3
2014,4,155700,144735.1908,38.4742485,35.76478932,"SORGHUM, GRAIN - ACRES HARVESTED; SORGHUM, SILAGE - ACRES HARVESTED",1200,14.84658147,178.1589777,906.9284817,1493.071518,,N,33.5525533,Y,Omisison-adjustment raster from NLCD,3
2014,5,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,6,239400,213784.9151,59.156937,52.82732146,SUNFLOWER - ACRES HARVESTED,NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2014,7,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,8,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,9,1560600,1521718.084,385.632063,376.0241472,SWEET CORN - ACRES HARVESTED,2935,11.9,349.265,2360.459075,3509.540925,,N,7.805349794,Y,Omisison-adjustment raster from NLCD,3
2014,10,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,11,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,12,19800,10082.15345,4.892679,2.491350529,BARLEY - ACRES HARVESTED,716,33,236.28,327.3194,1104.6806,,N,287.3943235,Y,Omisison-adjustment raster from NLCD,3
2014,13,4500,4500,1.1119725,1.1119725,"WHEAT, SPRING, DURUM - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2014,14,628200,620715.0078,155.231361,153.381782,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2014,15,110806200,107475065.6,27380.76605,26557.62609,"WHEAT, WINTER - ACRES HARVESTED",24904,13.3,3312.232,19455.37836,30352.62164,,Y,0.937734416,N,NA,1
2014,16,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,17,96300,96300,23.7962115,23.7962115,RYE - ACRES HARVESTED,NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2014,18,69236100,67242093.77,17108.58649,16615.85758,OATS - ACRES HARVESTED,1890,9.3,175.77,1600.85835,2179.14165,,N,0.113746762,N,Multiply probability by state adjustment ratio,2
2014,19,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,20,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,21,4500,0,1.1119725,0,,0,0,0,0,0,,NA,NA,NA,NA,5
2014,22,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,23,13293900,13128171.11,3284.98916,3244.036722,SAFFLOWER - ACRES HARVESTED,3386,5.5,186.23,3079.65165,3692.34835,,Y,1.043761304,Y,NA,1
2014,24,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,25,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,26,337232700,274356580.5,83331.88633,67794.88283,"HAY, ALFALFA - ACRES HARVESTED; HAYLAGE, ALFALFA - ACRES HARVESTED; LEGUMES, ALFALFA, SEED - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2014,27,733158000,463435266.6,181167.0076,114517.1716,"HAY, SMALL GRAIN - ACRES HARVESTED; HAY, TAME, (EXCL ALFALFA & SMALL GRAIN) - ACRES HARVESTED; HAY, WILD - ACRES HARVESTED; HAYLAGE, (EXCL ALFALFA) - ACRES HARVESTED",39876,7.770719817,3098.652234,34778.71707,44973.28293,,N,0.348209788,N,Multiply probability by state adjustment ratio,2
2014,28,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,29,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,30,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,31,10976400,10881172.76,2712.323322,2688.792196,"BEANS, DRY EDIBLE, (EXCL LIMA), INCL CHICKPEAS - ACRES HARVESTED; BEANS, DRY EDIBLE, LIMA - ACRES HARVESTED",7032,27.99870551,1968.868972,3793.210541,10270.78946,,N,2.615300658,Y,Omisison-adjustment raster from NLCD,3
2014,32,9172800,9110556.254,2266.644744,2251.264003,POTATOES - ACRES HARVESTED,2952,13.5,398.52,2296.4346,3607.5654,,N,1.31126336,Y,Omisison-adjustment raster from NLCD,3
2014,33,3241800,3220148.105,801.064989,795.7146975,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2014,34,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,35,8100,0,2.0015505,0,SWEET POTATOES - ACRES HARVESTED,NA,NA,NA,NA,NA,,NA,NA,NA,NA,5
2014,36,46800,45971.25369,11.564514,11.35972664,"BEANS, GREEN, LIMA - ACRES HARVESTED; BEANS, SNAP - ACRES HARVESTED; BEETS - ACRES HARVESTED; CHICORY - ACRES HARVESTED; BRUSSELS SPROUTS - ACRES HARVESTED; DAIKON - ACRES HARVESTED; ESCAROLE & ENDIVE - ACRES HARVESTED; OKRA - ACRES HARVESTED; SPINACH - ACRES HARVESTED; VEGETABLES, OTHER - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2014,37,4322700,4293125.658,1068.160784,1060.852816,"MELONS, WATERMELON - ACRES HARVESTED",3048,29.8,908.304,1553.83992,4542.16008,,N,2.873160117,Y,Omisison-adjustment raster from NLCD,3
2014,38,2619900,2606081.348,647.3903895,643.9757315,"ONIONS, DRY - ACRES HARVESTED; ONIONS, GREEN - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2014,39,0,0,0,0,CUCUMBERS - ACRES HARVESTED,2848,60.3,1717.344,22.96912,5673.03088,,NA,NA,NA,NA,4
2014,40,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,41,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,42,4176000,4025989.419,1031.91048,994.8421153,"PEAS, GREEN, (EXCL SOUTHERN) - ACRES HARVESTED; PEAS, GREEN, SOUTHERN (COWPEAS) - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2014,43,201177000,199328220.6,49711.84259,49254.99994,"TOMATOES, IN THE OPEN - ACRES HARVESTED",30942,7.8,2413.476,26971.83198,34912.16802,,N,0.628200183,N,Multiply probability by state adjustment ratio,2
2014,44,0,0,0,0,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN; BOYSENBERRIES - ACRES GROWN; RASPBERRIES - ACRES GROWN",18,21.29295731,3.832732315,11.69515534,24.30484466,,NA,NA,NA,NA,4
2014,45,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,46,194400,192665.5922,48.037212,47.60863117,"HERBS, FRESH CUT - ACRES HARVESTED",12,17.2,2.064,8.60472,15.39528,,N,0.252055136,N,Multiply probability by state adjustment ratio,2
2014,47,6282000,5774808.611,1552.31361,1426.984082,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2014,48,11380500,11199843.76,2812.178453,2767.537391,SOD - ACRES HARVESTED,NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2014,49,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2014,50,70453800,66090838.25,17409.48625,16331.37659,"AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), CULTIVATED SUMMER FALLOW - ACRES; AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), IDLE - ACRES",19043,11.47993141,2186.123338,15446.82711,22639.17289,,Y,1.166037652,Y,NA,1
2014,51,39548700,39108994.67,9772.681514,9664.028127,"CHERRIES, SWEET - ACRES BEARING & NON-BEARING",17468,21.9,3825.492,11175.06566,23760.93434,,N,1.807527852,Y,Omisison-adjustment raster from NLCD,3
2014,52,1063800,1056882.352,262.870299,261.1609136,PEACHES - ACRES BEARING & NON-BEARING,2568,6.9,177.192,2276.51916,2859.48084,,N,9.833018138,Y,Omisison-adjustment raster from NLCD,3
2014,53,77400,68663.61842,19.125927,16.96712343,APPLES - ACRES BEARING & NON-BEARING,1625,31.4,510.25,785.63875,2464.36125,,N,95.7734531,Y,Omisison-adjustment raster from NLCD,3
2014,54,513879300,496682871.9,126982.1444,122732.8211,GRAPES - ACRES BEARING & NON-BEARING,106753,6.5,6938.945,95338.43548,118167.5645,,N,0.869799937,N,Multiply probability by state adjustment ratio,2
2014,55,23400,22313.75849,5.782257,5.513841291,CHESTNUTS - ACRES BEARING & NON-BEARING; FIGS - ACRES BEARING & NON-BEARING; KIWIFRUIT - ACRES BEARING & NON-BEARING; PERSIMMONS - ACRES BEARING & NON-BEARING,NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2014,56,0,0,0,0,GRAPEFRUIT - ACRES BEARING & NON-BEARING; LEMONS - ACRES BEARING & NON-BEARING; TANGERINES - ACRES BEARING & NON-BEARING,187,6.080529977,11.37059106,168.2953777,205.7046223,,NA,NA,NA,NA,4
2014,57,3600,3600,0.889578,0.889578,PECANS - ACRES BEARING & NON-BEARING,NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2014,58,230228100,226853747.9,56890.51465,56056.69537,ALMONDS - ACRES BEARING & NON-BEARING,54283,6,3256.98,48925.2679,59640.7321,,Y,0.968358902,N,NA,1
